2026학년도 1학기 본과정(계약학과 포함) 전체 강의시간표,,,,,,,,
1. 2026. 1. 30.자 시간표로 교원 충원 및 강의실 사정 등에 따라 변동될 수 있음,,,,,,,,
2. 교양 교과목에 대한 상세 안내는 교양 시간표 안내 공지를 참조,,,,,,,,
3. 실용음악과 전공실기 교과목 배정 관련 사항은 학과 문의,,,,,,,,
과정부분,학과명,과목명,분반,교수명,학년,이수구분명,학점,시간표
본과정,토목공학과,수리학I,103,곽문수,1,전공과정,3,월 10:25 - 11:50 ( 공207 )  월 15:25 - 16:50 ( 공207 )
본과정,토목공학과,응용역학I,101,서경완,1,전공과정,3,월 09:00 - 09:50 ( 공206 )  월 10:00 - 10:50 ( 공206 )  월 11:00 - 11:50 ( 공206 )
본과정,토목공학과,응용역학I,102,서경완,1,전공과정,3,화 09:00 - 09:50 ( 공208 )  화 10:00 - 10:50 ( 공208 )  화 11:00 - 11:50 ( 공208 )
본과정,토목공학과,응용역학I,103,서경완,1,전공과정,3,화 13:00 - 13:50 ( 공208 )  화 14:00 - 14:50 ( 공208 )  화 15:00 - 15:50 ( 공208 )
본과정,토목공학과,측량학및실습,101,김명배,1,전공과정,3,월 14:00 - 14:50 ( 공212 )  월 15:00 - 15:50 ( 공212 )  월 16:00 - 16:50 ( 공212 )
본과정,토목공학과,측량학및실습,102,김명배,1,전공과정,3,화 14:00 - 14:50 ( 공212 )  화 15:00 - 15:50 ( 공212 )  화 16:00 - 16:50 ( 공212 )
본과정,토목공학과,측량학및실습,103,김명배,1,전공과정,3,수 13:00 - 13:50 ( 공212 )  수 14:00 - 14:50 ( 공212 )  수 15:00 - 15:50 ( 공212 )
본과정,토목공학과,토질역학I,101,유승경,1,전공과정,3,수 10:00 - 11:25 ( 공202 )  수 12:25 - 13:50 ( 공202 )
본과정,토목공학과,토질역학I,102,유승경,1,전공과정,3,월 10:25 - 11:50 ( 공202 )  화 12:25 - 13:50 ( 공202 )
본과정,토목공학과,토질역학I,103,유승경,1,전공과정,3,월 14:00 - 15:25 ( 공202 )  화 10:00 - 11:25 ( 공202 )
본과정,토목공학과,구조역학및연습,101,우태련,2,전공과정,2,화 13:00 - 13:50 ( 공206 )  화 14:00 - 14:50 ( 공206 )
본과정,토목공학과,구조역학및연습,102,우태련,2,전공과정,2,화 10:00 - 10:50 ( 공206 )  화 11:00 - 11:50 ( 공206 )
본과정,토목공학과,수리실험실습,101,김학수,2,전공과정,2,화 10:00 - 10:50 ( 공214 )  화 11:00 - 11:50 ( 공214 )
본과정,토목공학과,수리실험실습,102,김학수,2,전공과정,2,화 13:00 - 13:50 ( 공214 )  화 14:00 - 14:50 ( 공214 )
본과정,토목공학과,지형정보공학캡스톤디자인,101,이병환,2,전공과정,2,월 14:00 - 14:50 ( 공209 )  월 15:00 - 15:50 ( 공209 )
본과정,토목공학과,지형정보공학캡스톤디자인,102,이병환,2,전공과정,2,월 10:25 - 11:25 ( 공209 )  월 11:25 - 12:25 ( 공209 )
